,0,1,2,3,4,5,6,Xt
126,4954100.0,2238200.0,10391500.0,6773400.0,11866400.0,5951600.0,2657000.0,3747100.0
127,2238200.0,10391500.0,6773400.0,11866400.0,5951600.0,2657000.0,3747100.0,944200.0
128,10391500.0,6773400.0,11866400.0,5951600.0,2657000.0,3747100.0,944200.0,9235300.0
129,6773400.0,11866400.0,5951600.0,2657000.0,3747100.0,944200.0,9235300.0,2495500.0
130,11866400.0,5951600.0,2657000.0,3747100.0,944200.0,9235300.0,2495500.0,2661000.0
131,5951600.0,2657000.0,3747100.0,944200.0,9235300.0,2495500.0,2661000.0,2300100.0
132,2657000.0,3747100.0,944200.0,9235300.0,2495500.0,2661000.0,2300100.0,1465000.0
133,3747100.0,944200.0,9235300.0,2495500.0,2661000.0,2300100.0,1465000.0,793100.0
134,944200.0,9235300.0,2495500.0,2661000.0,2300100.0,1465000.0,793100.0,2079400.0
135,9235300.0,2495500.0,2661000.0,2300100.0,1465000.0,793100.0,2079400.0,867000.0
136,2495500.0,2661000.0,2300100.0,1465000.0,793100.0,2079400.0,867000.0,8351700.0
137,2661000.0,2300100.0,1465000.0,793100.0,2079400.0,867000.0,8351700.0,2306500.0
138,2300100.0,1465000.0,793100.0,2079400.0,867000.0,8351700.0,2306500.0,2840400.0
139,1465000.0,793100.0,2079400.0,867000.0,8351700.0,2306500.0,2840400.0,2492800.0
140,793100.0,2079400.0,867000.0,8351700.0,2306500.0,2840400.0,2492800.0,3520800.0
141,2079400.0,867000.0,8351700.0,2306500.0,2840400.0,2492800.0,3520800.0,4100500.0
142,867000.0,8351700.0,2306500.0,2840400.0,2492800.0,3520800.0,4100500.0,1827500.0
143,8351700.0,2306500.0,2840400.0,2492800.0,3520800.0,4100500.0,1827500.0,2380300.0
144,2306500.0,2840400.0,2492800.0,3520800.0,4100500.0,1827500.0,2380300.0,2395000.0
145,2840400.0,2492800.0,3520800.0,4100500.0,1827500.0,2380300.0,2395000.0,1202400.0
146,2492800.0,3520800.0,4100500.0,1827500.0,2380300.0,2395000.0,1202400.0,1679600.0
147,3520800.0,4100500.0,1827500.0,2380300.0,2395000.0,1202400.0,1679600.0,2980300.0
