,0,1,2,3,4,5,Xt
118,5925.0,5950.0,5850.0,5875.0,6000.0,5825.0,5775.0
119,5950.0,5850.0,5875.0,6000.0,5825.0,5775.0,5800.0
120,5850.0,5875.0,6000.0,5825.0,5775.0,5800.0,5750.0
121,5875.0,6000.0,5825.0,5775.0,5800.0,5750.0,5625.0
122,6000.0,5825.0,5775.0,5800.0,5750.0,5625.0,5500.0
123,5825.0,5775.0,5800.0,5750.0,5625.0,5500.0,5400.0
124,5775.0,5800.0,5750.0,5625.0,5500.0,5400.0,5375.0
125,5800.0,5750.0,5625.0,5500.0,5400.0,5375.0,5600.0
126,5750.0,5625.0,5500.0,5400.0,5375.0,5600.0,5700.0
127,5625.0,5500.0,5400.0,5375.0,5600.0,5700.0,5725.0
128,5500.0,5400.0,5375.0,5600.0,5700.0,5725.0,5700.0
129,5400.0,5375.0,5600.0,5700.0,5725.0,5700.0,6000.0
130,5375.0,5600.0,5700.0,5725.0,5700.0,6000.0,5975.0
131,5600.0,5700.0,5725.0,5700.0,6000.0,5975.0,6125.0
132,5700.0,5725.0,5700.0,6000.0,5975.0,6125.0,6100.0
133,5725.0,5700.0,6000.0,5975.0,6125.0,6100.0,6000.0
134,5700.0,6000.0,5975.0,6125.0,6100.0,6000.0,6025.0
135,6000.0,5975.0,6125.0,6100.0,6000.0,6025.0,6175.0
136,5975.0,6125.0,6100.0,6000.0,6025.0,6175.0,6025.0
137,6125.0,6100.0,6000.0,6025.0,6175.0,6025.0,6300.0
138,6100.0,6000.0,6025.0,6175.0,6025.0,6300.0,6250.0
139,6000.0,6025.0,6175.0,6025.0,6300.0,6250.0,6100.0
140,6025.0,6175.0,6025.0,6300.0,6250.0,6100.0,6125.0
141,6175.0,6025.0,6300.0,6250.0,6100.0,6125.0,5925.0
142,6025.0,6300.0,6250.0,6100.0,6125.0,5925.0,6100.0
143,6300.0,6250.0,6100.0,6125.0,5925.0,6100.0,6025.0
144,6250.0,6100.0,6125.0,5925.0,6100.0,6025.0,6000.0
145,6100.0,6125.0,5925.0,6100.0,6025.0,6000.0,6075.0
146,6125.0,5925.0,6100.0,6025.0,6000.0,6075.0,6050.0
147,5925.0,6100.0,6025.0,6000.0,6075.0,6050.0,6050.0
148,6100.0,6025.0,6000.0,6075.0,6050.0,6050.0,6050.0
149,6025.0,6000.0,6075.0,6050.0,6050.0,6050.0,6200.0
150,6000.0,6075.0,6050.0,6050.0,6050.0,6200.0,6125.0
151,6075.0,6050.0,6050.0,6050.0,6200.0,6125.0,6050.0
152,6050.0,6050.0,6050.0,6200.0,6125.0,6050.0,5825.0
153,6050.0,6050.0,6200.0,6125.0,6050.0,5825.0,5975.0
154,6050.0,6200.0,6125.0,6050.0,5825.0,5975.0,6000.0
155,6200.0,6125.0,6050.0,5825.0,5975.0,6000.0,5975.0
156,6125.0,6050.0,5825.0,5975.0,6000.0,5975.0,6100.0
157,6050.0,5825.0,5975.0,6000.0,5975.0,6100.0,6000.0
158,5825.0,5975.0,6000.0,5975.0,6100.0,6000.0,5925.0
159,5975.0,6000.0,5975.0,6100.0,6000.0,5925.0,6050.0
160,6000.0,5975.0,6100.0,6000.0,5925.0,6050.0,6000.0
161,5975.0,6100.0,6000.0,5925.0,6050.0,6000.0,5900.0
162,6100.0,6000.0,5925.0,6050.0,6000.0,5900.0,5900.0
163,6000.0,5925.0,6050.0,6000.0,5900.0,5900.0,5875.0
164,5925.0,6050.0,6000.0,5900.0,5900.0,5875.0,5925.0
165,6050.0,6000.0,5900.0,5900.0,5875.0,5925.0,6175.0
166,6000.0,5900.0,5900.0,5875.0,5925.0,6175.0,6300.0
167,5900.0,5900.0,5875.0,5925.0,6175.0,6300.0,6200.0
168,5900.0,5875.0,5925.0,6175.0,6300.0,6200.0,6400.0
169,5875.0,5925.0,6175.0,6300.0,6200.0,6400.0,6500.0
170,5925.0,6175.0,6300.0,6200.0,6400.0,6500.0,6825.0
171,6175.0,6300.0,6200.0,6400.0,6500.0,6825.0,6800.0
172,6300.0,6200.0,6400.0,6500.0,6825.0,6800.0,6600.0
173,6200.0,6400.0,6500.0,6825.0,6800.0,6600.0,6750.0
174,6400.0,6500.0,6825.0,6800.0,6600.0,6750.0,6600.0
175,6500.0,6825.0,6800.0,6600.0,6750.0,6600.0,6700.0
176,6825.0,6800.0,6600.0,6750.0,6600.0,6700.0,6825.0
177,6800.0,6600.0,6750.0,6600.0,6700.0,6825.0,6825.0
178,6600.0,6750.0,6600.0,6700.0,6825.0,6825.0,6775.0
179,6750.0,6600.0,6700.0,6825.0,6825.0,6775.0,6900.0
180,6600.0,6700.0,6825.0,6825.0,6775.0,6900.0,7125.0
181,6700.0,6825.0,6825.0,6775.0,6900.0,7125.0,6950.0
182,6825.0,6825.0,6775.0,6900.0,7125.0,6950.0,7000.0
183,6825.0,6775.0,6900.0,7125.0,6950.0,7000.0,7000.0
184,6775.0,6900.0,7125.0,6950.0,7000.0,7000.0,7000.0
185,6900.0,7125.0,6950.0,7000.0,7000.0,7000.0,7075.0
186,7125.0,6950.0,7000.0,7000.0,7000.0,7075.0,6900.0
187,6950.0,7000.0,7000.0,7000.0,7075.0,6900.0,7000.0
188,7000.0,7000.0,7000.0,7075.0,6900.0,7000.0,6950.0
189,7000.0,7000.0,7075.0,6900.0,7000.0,6950.0,7000.0
190,7000.0,7075.0,6900.0,7000.0,6950.0,7000.0,6825.0
191,7075.0,6900.0,7000.0,6950.0,7000.0,6825.0,6875.0
192,6900.0,7000.0,6950.0,7000.0,6825.0,6875.0,7050.0
193,7000.0,6950.0,7000.0,6825.0,6875.0,7050.0,7000.0
194,6950.0,7000.0,6825.0,6875.0,7050.0,7000.0,6950.0
195,7000.0,6825.0,6875.0,7050.0,7000.0,6950.0,6925.0
196,6825.0,6875.0,7050.0,7000.0,6950.0,6925.0,6975.0
197,6875.0,7050.0,7000.0,6950.0,6925.0,6975.0,6950.0
198,7050.0,7000.0,6950.0,6925.0,6975.0,6950.0,6825.0
199,7000.0,6950.0,6925.0,6975.0,6950.0,6825.0,6825.0
200,6950.0,6925.0,6975.0,6950.0,6825.0,6825.0,6825.0
201,6925.0,6975.0,6950.0,6825.0,6825.0,6825.0,6750.0
202,6975.0,6950.0,6825.0,6825.0,6825.0,6750.0,6625.0
203,6950.0,6825.0,6825.0,6825.0,6750.0,6625.0,6700.0
204,6825.0,6825.0,6825.0,6750.0,6625.0,6700.0,6700.0
