Date,Open,High,Low,Close,Adj Close,Volume
2023-02-10,5875.000000,5925.000000,5800.000000,5925.000000,5733.829590,3261500
2023-02-13,5925.000000,6300.000000,5800.000000,6175.000000,5975.763672,41538800
2023-02-14,6200.000000,6375.000000,6050.000000,6300.000000,6096.730469,18837900
2023-02-15,6225.000000,6275.000000,6125.000000,6200.000000,5999.957031,19067000
2023-02-16,6200.000000,6425.000000,6200.000000,6400.000000,6193.503906,22330000
2023-02-17,6400.000000,6675.000000,6350.000000,6500.000000,6290.277344,24736300
2023-02-20,6525.000000,6950.000000,6500.000000,6825.000000,6604.791504,14158200
2023-02-21,6900.000000,7000.000000,6675.000000,6800.000000,6580.598145,9498200
2023-02-22,6775.000000,6850.000000,6500.000000,6600.000000,6387.050781,6193600
2023-02-23,6700.000000,6825.000000,6600.000000,6750.000000,6532.211426,4752700
2023-02-24,6775.000000,6800.000000,6550.000000,6600.000000,6387.050781,2268900
2023-02-27,6600.000000,6800.000000,6500.000000,6700.000000,6483.824219,4552900
2023-02-28,6675.000000,6825.000000,6675.000000,6825.000000,6604.791504,3522700
2023-03-01,6775.000000,6925.000000,6750.000000,6825.000000,6604.791504,2740200
2023-03-02,6825.000000,6825.000000,6750.000000,6775.000000,6556.404785,986400
2023-03-03,6800.000000,6950.000000,6775.000000,6900.000000,6677.371582,4747800
2023-03-06,6900.000000,7150.000000,6900.000000,7125.000000,6895.111816,6940800
2023-03-07,7075.000000,7150.000000,6900.000000,6950.000000,6725.758301,4633500
2023-03-08,6950.000000,7025.000000,6825.000000,7000.000000,6774.145020,4858400
2023-03-09,7000.000000,7100.000000,7000.000000,7000.000000,6774.145020,752700
2023-03-10,7000.000000,7050.000000,6900.000000,7000.000000,6774.145020,1646500
2023-03-13,7000.000000,7100.000000,6825.000000,7075.000000,6846.725098,1816600
2023-03-14,7025.000000,7150.000000,6900.000000,6900.000000,6677.371582,3189700
2023-03-15,6975.000000,7050.000000,6925.000000,7000.000000,6774.145020,2036400
2023-03-16,7000.000000,7025.000000,6950.000000,6950.000000,6725.758301,4621800
2023-03-17,6950.000000,7000.000000,6850.000000,7000.000000,6774.145020,4683200
2023-03-20,7000.000000,7000.000000,6725.000000,6825.000000,6604.791504,2023200
2023-03-21,6825.000000,6925.000000,6700.000000,6875.000000,6653.178223,1762300
2023-03-24,6875.000000,7200.000000,6800.000000,7050.000000,6822.531738,6562900
2023-03-27,7075.000000,7250.000000,6900.000000,7000.000000,6774.145020,3330100
2023-03-28,7050.000000,7125.000000,6950.000000,6950.000000,6725.758301,1752300
2023-03-29,6975.000000,7000.000000,6850.000000,6925.000000,6701.564941,2894700
2023-03-30,6925.000000,7000.000000,6875.000000,6975.000000,6749.951660,2364200
2023-03-31,6975.000000,7000.000000,6800.000000,6950.000000,6725.758301,2527200
2023-04-03,6950.000000,6950.000000,6825.000000,6825.000000,6604.791504,1586600
2023-04-04,6850.000000,6875.000000,6775.000000,6825.000000,6604.791504,2547300
2023-04-05,6850.000000,6900.000000,6600.000000,6825.000000,6604.791504,6790000
2023-04-06,6825.000000,6825.000000,6650.000000,6750.000000,6532.211426,2599700
2023-04-10,6750.000000,6750.000000,6600.000000,6625.000000,6411.244141,2908900
2023-04-11,6650.000000,6700.000000,6575.000000,6700.000000,6483.824219,2420600
2023-04-12,6650.000000,6700.000000,6475.000000,6700.000000,6483.824219,7114600
