,Fitur,Test_Size,K Neighbors,Nilai Error MSE,Nilai Error MAPE
109,5,0.3,5,0.03853396094371496,0.12841564234710331
110,5,0.3,7,0.0348490683922516,0.12308920838036974
111,5,0.3,9,0.035051514278901755,0.12469527988470383
112,5,0.3,11,0.03588732820355944,0.1257793149007432
113,5,0.3,13,0.03685497275830991,0.12731040025527415
114,6,0.3,3,0.04450418425231731,0.14149664722798377
115,6,0.3,5,0.040339636457006695,0.13236735421121817
116,6,0.3,7,0.03985393791780394,0.13242583241589417
117,6,0.3,9,0.03881878437271765,0.1299084872683242
118,6,0.3,11,0.038913129882636996,0.12983877725685208
119,6,0.3,13,0.038060830110175733,0.12894336929319883
120,7,0.3,3,0.041702894648080226,0.13527955044519016
121,7,0.3,5,0.0399295843646185,0.13319113162558013
122,7,0.3,7,0.04043246188066515,0.13406977371183387
123,7,0.3,9,0.04139070582405776,0.13542787745170243
124,7,0.3,11,0.0412179849442774,0.1341746965936125
125,7,0.3,13,0.04009194032490827,0.13196938327546018
126,1,0.4,3,0.04046182072700839,0.12408859983499208
127,1,0.4,5,0.03915489415395716,0.12194044294732122
128,1,0.4,7,0.036599248112404045,0.1186950857514453
129,1,0.4,9,0.03677006446496251,0.12016807874939263
130,1,0.4,11,0.036646951506484365,0.11892322518805185
131,1,0.4,13,0.036125987331960194,0.1177428670317032
132,2,0.4,3,0.0395701636412896,0.12193208451897954
133,2,0.4,5,0.03563278223582658,0.11771573286559925
134,2,0.4,7,0.03452119953997107,0.11529587855610665
135,2,0.4,9,0.03424569455390616,0.11363146322699061
136,2,0.4,11,0.03332715661591393,0.11296009745702114
137,2,0.4,13,0.03128575883644345,0.11033660052568314
138,3,0.4,3,0.04382516218403283,0.1304345183723703
139,3,0.4,5,0.03997566806182427,0.12529309016218795
140,3,0.4,7,0.03617849995348617,0.11755630752831517
141,3,0.4,9,0.03237457464918926,0.11067162395693418
142,3,0.4,11,0.031475646470819824,0.11088456719341326
143,3,0.4,13,0.03239734965839904,0.1127472357161407
144,4,0.4,3,0.03336380137046626,0.11570333157558381
145,4,0.4,5,0.028910953442937246,0.10701356601766701
